Suburb,State,Postcode,Lat,Lng,Bounds_N,Bounds_E,Bounds_S,Bounds_W,Is Regional
Bochara,VIC,3301,-37.7255033,141.8945505,-37.5694379,142.290031,-38.1619965,141.635982,True
Bogong,VIC,3699,-36.8124613,147.3270485,-36.7151053,147.462817,-36.9401293,147.1433463,True
Boho,VIC,3669,-36.6078959,145.7133909,-36.4355856,145.9821018,-36.9396209,145.5315639,True
Boho South,VIC,3669,-36.6078959,145.7133909,-36.4355856,145.9821018,-36.9396209,145.5315639,True
Boigbeat,VIC,3531,-35.6512854,142.9170407,-35.533357,143.0852789,-35.70824,142.8391281,True
Boinka,VIC,3490,-35.3571245,141.5991643,-34.035717,142.7429619,-36.0260151,140.9625692,True
Boisdale,VIC,3860,-37.6951451,146.9661233,-37.4325262,147.1957947,-38.0393099,146.7263199,True
Bolangum,VIC,3387,-36.8204775,142.8312661,-36.6309229,143.031794,-36.9978258,142.7119218,True
Bolinda,VIC,3432,-37.439438,144.7741635,-37.415032,144.8184225,-37.461332,144.7267251,True
Bolton,VIC,3546,-35.0979662,142.9599661,-34.9215891,143.1387184,-35.2493783,142.6934081,True
Bona Vista,VIC,3820,-38.1692482,145.9469958,-38.095291,145.9951783,-38.2302127,145.8754946,True
Bonbeach,VIC,3196,-38.048116,145.1210303,-38.0253839,145.1445673,-38.0732517,145.1043467,False
Bonegilla,VIC,3691,-36.2373927,146.9661233,-35.9427546,147.7366133,-36.6719811,146.7024615,True
Boneo,VIC,3939,-38.4218526,144.8951287,-38.3494372,144.9552767,-38.4999344,144.8298611,False
Bonn,VIC,3561,-36.3317046,144.6533747,-36.2250467,144.931908,-36.443,144.4318729,True
Bonnie Doon,VIC,3720,-37.0207039,145.8690603,-36.9060689,145.9527819,-37.1221418,145.8119912,True
Boolarong,VIC,3960,-38.9962856,146.3376699,-38.51377,146.4891587,-39.1365809,146.1164411,True
Boolarra,VIC,3870,-38.4631226,146.3600438,-38.3477099,146.510762,-38.5668373,146.2231919,True
Boolarra South,VIC,3870,-38.4631226,146.3600438,-38.3477099,146.510762,-38.5668373,146.2231919,True
Boole Poole,VIC,3880,-37.9215501,147.7573,-37.8471842,147.8818835,-38.0778097,147.5768575,True
Boolite,VIC,3392,-36.4286658,142.5745556,-36.2886098,142.8077254,-36.548645,142.466782,True
Boomahnoomoonah,VIC,3728,-36.1554528,145.9135867,-36.09612,146.1311907,-36.2241693,145.72694,True
Boonah,VIC,3235,-38.455233,143.9324048,-38.355317,144.026127,-38.5240019,143.826987,True
Boorhaman North,VIC,3685,-36.0564816,146.4495924,-35.957559,146.6682867,-36.1363126,146.1749674,True
Boorool,VIC,3953,-38.4586497,146.002705,-38.2922329,146.1988019,-38.609095,145.7767961,True
Boort,VIC,3537,-36.0772722,143.6935405,-35.9323909,143.9183929,-36.196415,143.4756882,True
Boosey,VIC,3730,-36.0520717,145.8913207,-35.9524772,146.2168699,-36.134105,145.759846,True
Boralma,VIC,3682,-36.1723841,146.4495924,-36.0263135,146.5401896,-36.2779069,146.2841836,True
Bornes Hill,VIC,3379,-37.5195066,142.6172766,-37.2928974,142.8493301,-37.9079969,142.3534801,True
Boronia,VIC,3155,-37.8610682,145.2867055,-37.8333273,145.3179736,-37.8743059,145.250369,False
Borung,VIC,3518,-36.424265,143.6068646,-36.1794759,143.913473,-36.6789049,143.384895,True
Bostocks Creek,VIC,3260,-38.1491105,143.1319209,-38.0228434,143.4807871,-38.4645917,142.992192,True
Botanic Ridge,VIC,3977,-38.1347885,145.2811778,-38.0658144,145.3509789,-38.2206366,145.1871599,False
Boundary Bend,VIC,3599,-34.7507483,143.1104044,-34.6782971,143.222532,-34.7812949,142.9975925,True
Bowenvale,VIC,3465,-37.0550295,143.6935405,-36.8746779,143.9763284,-37.181662,143.3786589,True
Boweya,VIC,3675,-36.5103613,146.1812023,-36.1991136,146.3411241,-36.7204183,146.0677569,True
Boweya North,VIC,3675,-36.5103613,146.1812023,-36.1991136,146.3411241,-36.7204183,146.0677569,True
Bowmans Forest,VIC,3735,-36.5231859,146.5840737,-36.4109978,146.683905,-36.6507831,146.532002,True
Box Hill,VIC,3128,-37.8333543,145.1210303,-37.8125999,145.1394529,-37.845827,145.110166,False
Box Hill North,VIC,3129,-37.8052948,145.1210303,-37.792836,145.1426345,-37.8154238,145.102542,False
Box Hill South,VIC,3128,-37.8333543,145.1210303,-37.8125999,145.1394529,-37.845827,145.110166,False
Boxwood,VIC,3725,-36.4002774,145.958135,-36.2989698,146.1123359,-36.4714729,145.7246361,True
Bradford,VIC,3463,-36.9483008,143.9759139,-36.776202,144.227466,-37.0751249,143.8462136,True
Bradvale,VIC,3361,-37.7488709,143.3474304,-37.6116738,143.4575726,-37.8412184,143.081697,True
Braeside,VIC,3195,-38.0005492,145.1044805,-37.9821849,145.1446926,-38.0349013,145.0688217,False
Branditt,VIC,3630,-36.4615673,145.5579927,-36.3207199,145.6677833,-36.520717,145.3519059,True
Brandon Park,VIC,3150,-37.8921876,145.1706992,-37.8597693,145.2083914,-37.924399,145.142933,False
Brandy Creek,VIC,3821,-38.0844084,146.002705,-38.031435,146.1405073,-38.3308121,145.850134,True
Branxholme,VIC,3302,-37.8391588,141.8100218,-37.7489143,141.9309741,-37.9273313,141.548645,True
Bravington,VIC,3821,-38.0844084,146.002705,-38.031435,146.1405073,-38.3308121,145.850134,True
Braybrook,VIC,3019,-37.7903679,144.8566207,-37.7697683,144.8659331,-37.799539,144.8417826,False
Breakaway Creek,VIC,3303,-37.9603082,141.5570726,-37.857658,141.871829,-38.108954,141.4558783,True
Breakwater,VIC,3219,-38.176358,144.3849841,-38.143366,144.4070034,-38.2147909,144.364281,True
Breamlea,VIC,3227,-38.2498059,144.4232713,-38.2094409,144.5082509,-38.3033689,144.3525219,True
Brenanah,VIC,3517,-36.515547,143.8671868,-36.1986619,144.0626249,-36.6898129,143.642929,True
Briagolong,VIC,3860,-37.6951451,146.9661233,-37.4325262,147.1957947,-38.0393099,146.7263199,True
Briar Hill,VIC,3088,-37.698595,145.1099967,-37.6792029,145.1437046,-37.7203323,145.0678388,False
Bridgewater,VIC,3516,-36.6251143,144.0194472,-36.5095689,144.150792,-36.7202278,143.883077,True
